"notedarray","id","name","url","price","image_link","category"
NULL,16,"Dokotoo Womens 2022 Winter Fall Solid Turtleneck High Neck Balloon Long Sleeve Sweaters Pullover Outerwear","http://amazon.com/Dokotoo-Turtleneck-Sweaters-Pullovers-Outerwear/dp/B07WF3N4YC/ref=sr_1_16?keywords=long+sleeve+outwear&qid=1660075014&sr=8-16","$38.95","https://m.media-amazon.com/images/I/71ae2C+CeqL._AC_UL320_.jpg","long sleeve outwear"
NULL,17,"Hanes Men's Beefy Long Sleeve Three-Button Henley","http://amazon.com/Hanes-Long-Sleeve-Beefy-Henley-T-Shirt/dp/B010278WVE/ref=sr_1_17?keywords=long+sleeve+outwear&qid=1660075014&sr=8-17","None","https://m.media-amazon.com/images/I/91DcoGSaN9L._AC_UL320_.jpg","long sleeve outwear"
NULL,18,"Andongnywell Women's Casual Work Blazer Business Long Sleeve Open-Front Solid Color Cardigan Jacket Suit","http://amazon.com/Andongnywell-Business-Open-Front-Cardigan-X-Large/dp/B08NXKT28Z/ref=sr_1_18?keywords=long+sleeve+outwear&qid=1660075014&sr=8-18","$10.99","https://m.media-amazon.com/images/I/719PrNWRJUL._AC_UL320_.jpg","long sleeve outwear"
NULL,19,"Andongnywell Womens Long Sleeve Casual Open Front Suit Jackets Solid Boyfriend Blazer with Pockets Overcoats Outwears","http://amazon.com/Andongnywell-Jackets-Boyfriend-Overcoats-Outwears/dp/B08T7L2WVP/ref=sr_1_19?keywords=long+sleeve+outwear&qid=1660075014&sr=8-19","$10.79","https://m.media-amazon.com/images/I/41+iRXqPawL._AC_UL320_.jpg","long sleeve outwear"
NULL,20,"YMING Womens Solid Color Open Front Blazer Long Sleeve Office Jacket OL Work Cardigan with Pockets Plus Size","http://amazon.com/YMING-Womens-Casual-Sleeve-Outwear/dp/B09P54K51K/ref=sr_1_20?keywords=long+sleeve+outwear&qid=1660075014&sr=8-20","None","https://m.media-amazon.com/images/I/51wF5vJoFjL._AC_UL320_.jpg","long sleeve outwear"
NULL,21,"Generic Andongnywell Womens Solid Color Casual Open Front Long Sleeve Work Office Jackets Blazer Suit with Pockets Outwear (Green 1,XX-Large)","http://amazon.com/Andongnywell-Jackets-Pockets-Outwear-XX-Large/dp/B08X73LS5V/ref=sr_1_21?keywords=long+sleeve+outwear&qid=1660075014&sr=8-21","$10.99","https://m.media-amazon.com/images/I/71gwv9gOr0L._AC_UL320_.jpg","long sleeve outwear"
NULL,22,"Andongnywell Womens Long Sleeve Casual Open Front Jackets Solid Blazer Business Overcoats Blazers Outwear","http://amazon.com/Andongnywell-Jackets-Business-Overcoats-Blazers/dp/B08X6H3S5P/ref=sr_1_22?keywords=long+sleeve+outwear&qid=1660075014&sr=8-22","$10.99","https://m.media-amazon.com/images/I/71vNK-fItIL._AC_UL320_.jpg","long sleeve outwear"
NULL,23,"Andongnywell Women's Long Sleeve Slim Suit Jacket Clearance Open Blazer Fit Work Office Cardigan Coat Overcoats","http://amazon.com/Andongnywell-Womens-Casual-Pockets-Outwear/dp/B08X6BLCTB/ref=sr_1_23?keywords=long+sleeve+outwear&qid=1660075014&sr=8-23","$10.99","https://m.media-amazon.com/images/I/61xFkIW35FL._AC_UL320_.jpg","long sleeve outwear"
NULL,24,"Andongnywell Womens Casual Blazers Open Front Long Sleeve Work Office Jackets Blazers with Pockets Overcoats Outwears","http://amazon.com/Andongnywell-Blazers-Jackets-Overcoats-Outwears/dp/B08T7MSJV3/ref=sr_1_24?keywords=long+sleeve+outwear&qid=1660075014&sr=8-24","$10.79","https://m.media-amazon.com/images/I/61E5aO6aOaL._AC_UL320_.jpg","long sleeve outwear"
NULL,25,"Women Ladies Fashion Suit Hip Hop Two-Piece Solid Color Casual Suit Long Sleeve Coat and Pants Outwear Office Suit Plus Size Pant Suits for Women (Army Green, M)","http://amazon.com/Ladies-Fashion-Two-Piece-Casual-Outwear/dp/B0B2LW5G69/ref=sr_1_25?keywords=long+sleeve+outwear&qid=1660075014&sr=8-25","$36.43","https://m.media-amazon.com/images/I/51eDtGmX+BL._AC_UL320_.jpg","long sleeve outwear"
NULL,26,"Women's Long Open Front Cardigans Striped Color Block Loose Sweaters Outwear Slouchy Long Sleeve Knitted Jacket Coat","http://amazon.com/Cardigans-Striped-Sweaters-Outwear-Slouchy/dp/B09NBN25QT/ref=sr_1_26?keywords=long+sleeve+outwear&qid=1660075014&sr=8-26","$20.56","https://m.media-amazon.com/images/I/710ix4v4DZL._AC_UL320_.jpg","long sleeve outwear"
NULL,27,"Andongnywell Women Blazer Long Sleeve Casual Open Front Jackets Solid Boyfriend Blazer with Pockets Overcoats Outwears","http://amazon.com/Andongnywell-Boyfriend-Overcoats-Outwears-XX-Large/dp/B08T7M65V9/ref=sr_1_27?keywords=long+sleeve+outwear&qid=1660075014&sr=8-27","$10.79","https://m.media-amazon.com/images/I/61W3Ea81wIL._AC_UL320_.jpg","long sleeve outwear"
NULL,28,"Andongnywell Women's Casual Lapel Work Office Long Sleeve Open Front Blazer Jacket with Pockets Overcoats Outwears","http://amazon.com/Andongnywell-Pockets-Overcoats-Outwears-XX-Large/dp/B08T7N4LQP/ref=sr_1_28?keywords=long+sleeve+outwear&qid=1660075014&sr=8-28","$10.79","https://m.media-amazon.com/images/I/61G1M395YkL._AC_UL320_.jpg","long sleeve outwear"
NULL,29,"Women Basic Windbreaker Belted Overcoat Long Sleeve Outwear Jacket Solid Color Pockets Long Coats With Belt","http://amazon.com/Windbreaker-Overcoat-Outwear-Pockets-Apricot/dp/B09NQ4VJ73/ref=sr_1_29?keywords=long+sleeve+outwear&qid=1660075014&sr=8-29","$24.99","https://m.media-amazon.com/images/I/61NSDuRT-mL._AC_UL320_.jpg","long sleeve outwear"
